Portal,Report Name,Table,Columns In the Table,Data Type,Description
SC,Brand Search Catalog Performance,brand_search_catalog_performance,_created_on,timestamp with time zone,Date the record was created
SC,Brand Search Catalog Performance,brand_search_catalog_performance,_last_updated_on,timestamp with time zone,Date the record was last updated
SC,Brand Search Catalog Performance,brand_search_catalog_performance,_partneruuid,Character Varying,Partner Unique Identifier
SC,Brand Search Catalog Performance,brand_search_catalog_performance,_revision,Integer,Number of times the record has changed
SC,Brand Search Catalog Performance,brand_search_catalog_performance,asin,Character Varying,Amazon Standard Identification Number
SC,Brand Search Catalog Performance,brand_search_catalog_performance,asin_title,Character Varying,Product name
SC,Brand Search Catalog Performance,brand_search_catalog_performance,cart_adds_median_price,Double Precision,"Median listing price of the added to cart ASINs at the time of the display in the search results page. The purchase price of the product will vary because it includes coupons, discounts, shipping, gift cards etc."
SC,Brand Search Catalog Performance,brand_search_catalog_performance,category,Character Varying,High-level category ASIN is grouped in.
SC,Brand Search Catalog Performance,brand_search_catalog_performance,clicks_click_rate,Double Precision,Click Rate (CTR) is the  percentage of clicks to impressions for ASINs originated from the search results page.
SC,Brand Search Catalog Performance,brand_search_catalog_performance,clicks_median_price,Double Precision,"Median listing price of the clicked ASINs at the time of the display in the search results page. The purchase price of the product will vary because it includes coupons, discounts, shipping, gift cards etc."
SC,Brand Search Catalog Performance,brand_search_catalog_performance,clicks_median_rating,Double Precision,Deprecated
SC,Brand Search Catalog Performance,brand_search_catalog_performance,conversion_rate,Double Precision,The conversion rate describes the successful transition of a customer from clicks to purchase. This metric includes the percentage of purchases to clicks for ASINs originated from the search results page.
SC,Brand Search Catalog Performance,brand_search_catalog_performance,id,Integer,Unique number assigned to every line in the table
SC,Brand Search Catalog Performance,brand_search_catalog_performance,impressions_median_price,Double Precision,"Median price across of the ASINs for the query, at the time of impression"
SC,Brand Search Catalog Performance,brand_search_catalog_performance,impressions_median_rating,Double Precision,Median rating of the ASIN at the time of the display in the search results page.
SC,Brand Search Catalog Performance,brand_search_catalog_performance,one_day_shipping_speed_cart_adds,Integer,"One-day or next-day shipping captures the number of times the added to cart ASIN displayed with the ""One-Day"" delivery message in the search results page."
SC,Brand Search Catalog Performance,brand_search_catalog_performance,one_day_shipping_speed_clicks,Integer,"One-day or next-day shipping captures the number of times the clicked ASIN displayed with the ""One-Day"" delivery message in the search results page."
SC,Brand Search Catalog Performance,brand_search_catalog_performance,one_day_shipping_speed_impressions,Integer,"One-day or next-day shipping captures the number of times the impressed ASIN displayed with the ""One-Day"" delivery message in the search results page."
SC,Brand Search Catalog Performance,brand_search_catalog_performance,one_day_shipping_speed_purchases,Integer,"One-day or next-day shipping captures the number of times the purchased ASIN displayed with the ""One-Day"" delivery message in the search results page."
SC,Brand Search Catalog Performance,brand_search_catalog_performance,period,Character Varying,"Weekly, monthly snapshot of the report"
SC,Brand Search Catalog Performance,brand_search_catalog_performance,purchases_median_price,Double Precision,"Median listing price of the purchased ASINs at the time of the display in the search results page. The purchase price of the product will vary because it includes coupons, discounts, shipping, gift cards etc."
SC,Brand Search Catalog Performance,brand_search_catalog_performance,purchases_median_rating,Double Precision,Median rating of the purchased ASIN at the time of the display in Search.
SC,Brand Search Catalog Performance,brand_search_catalog_performance,same_day_shipping_speed_cart_adds,Integer,Same day shipping speed means customers receive the product within the day after purchasing them. This metric captures the number of times the added to cart ASIN displayed with the same day delivery message in the search results page.
SC,Brand Search Catalog Performance,brand_search_catalog_performance,same_day_shipping_speed_clicks,Integer,Same day shipping speed means customers receive the product within the day after purchasing them. This metric captures the number of times the clicked ASIN displayed with the same day delivery message in the search results page.
SC,Brand Search Catalog Performance,brand_search_catalog_performance,same_day_shipping_speed_impressions,Integer,Same day shipping speed means customers receive the product within the day after purchasing them. This metric captures the number of times the  impressed ASIN displayed with the same day delivery message in the search results page.
SC,Brand Search Catalog Performance,brand_search_catalog_performance,same_day_shipping_speed_purchases,Integer,Same day shipping speed means customers receive the product within the day after purchasing them. This metric captures the number of times the purchased ASIN displayed with the same day delivery message in the search results page.
SC,Brand Search Catalog Performance,brand_search_catalog_performance,snapshot_date,timestamp with time zone,Data of the report (Weekly or Monthly)
SC,Brand Search Catalog Performance,brand_search_catalog_performance,total_cart_adds,Integer,Total number of ASIN cart adds for the selected time period originated from the search results page.
SC,Brand Search Catalog Performance,brand_search_catalog_performance,total_clicks,Integer,Total number of ASIN clicks or glance views for the selected time period originated from the search results page. A click is valid when the detail page of the ASIN is rendered from the search page.
SC,Brand Search Catalog Performance,brand_search_catalog_performance,total_impressions,Integer,"Total number of impressions, for the selected time period, originated from the search results page across all search queries. An impression is counted every time the ASIN is displayed in the search results page."
SC,Brand Search Catalog Performance,brand_search_catalog_performance,total_purchases,Integer,Total number of ASIN purchases for the selected time period originated from the search results page.
SC,Brand Search Catalog Performance,brand_search_catalog_performance,total_sales,Double Precision,Search Traffic sales or gross sales is the grand total of all sales revenues for the selected time period originated from the search results page.
SC,Brand Search Catalog Performance,brand_search_catalog_performance,two_day_shipping_speed_cart_adds,Integer,This metric captures the number of times the added to cart ASIN displayed with the two day delivery message in the search results page.
SC,Brand Search Catalog Performance,brand_search_catalog_performance,two_day_shipping_speed_clicks,Integer,This metric captures the number of times the clicked ASIN displayed with the two day delivery message in the search results page.
SC,Brand Search Catalog Performance,brand_search_catalog_performance,two_day_shipping_speed_impressions,Integer,This metric captures the number of times the impressed ASIN displayed with the two day delivery message in the search results page.
SC,Brand Search Catalog Performance,brand_search_catalog_performance,two_day_shipping_speed_purchases,Integer,This metric captures the number of times the purchase ASIN displayed with the two day delivery message in the search results page.
SC,Brand Search Query Performance,brand_search_query_performance,_created_on,timestamp with time zone,Date the record was created
SC,Brand Search Query Performance,brand_search_query_performance,_last_updated_on,timestamp with time zone,Date the record was last updated
SC,Brand Search Query Performance,brand_search_query_performance,_partneruuid,Character Varying,Partner Unique Identifier
SC,Brand Search Query Performance,brand_search_query_performance,_revision,Integer,Number of times the record has changed
SC,Brand Search Query Performance,brand_search_query_performance,cart_adds_add_rate,Double Precision,The total number of cart adds over search query volume count.
SC,Brand Search Query Performance,brand_search_query_performance,cart_adds_brand_count,Integer,Total number of cart-adds from the brand's catalog for this query.
SC,Brand Search Query Performance,brand_search_query_performance,cart_adds_brand_share,Double Precision,Percentage share of cart-adds from the brand's catalog compared to the total count for the query.
SC,Brand Search Query Performance,brand_search_query_performance,cart_adds_median_brand_price,Double Precision,"Median price across all of the Brand's ASINs for the query, at the time of add cart."
SC,Brand Search Query Performance,brand_search_query_performance,cart_adds_median_price,Double Precision,"Median price across all of the ASINs for the query, at the time of  add cart."
SC,Brand Search Query Performance,brand_search_query_performance,clicks_brand_count,Integer,Total number of clicks from the brand's catalog for this query.
SC,Brand Search Query Performance,brand_search_query_performance,clicks_brand_share,Double Precision,Percentage share of clicks from the brand's catalog compared to the total count for the query.
SC,Brand Search Query Performance,brand_search_query_performance,clicks_click_rate,Double Precision,Click rate (CTR) is the total number of clicks over search query volume count
SC,Brand Search Query Performance,brand_search_query_performance,clicks_median_brand_price,Double Precision,"Median price across all of the Brand's ASINs for the query, at the time of  click."
SC,Brand Search Query Performance,brand_search_query_performance,clicks_median_price,Double Precision,"Median price across all of the ASINs for the query, at the time of  click"
SC,Brand Search Query Performance,brand_search_query_performance,id,Integer,Unique number assigned to every line in the table
SC,Brand Search Query Performance,brand_search_query_performance,impressions_brand_count,Integer,Total number of impressions from the brand's catalog impressed for this query.
SC,Brand Search Query Performance,brand_search_query_performance,impressions_brand_share,Double Precision,Percentage share of impressions from the brand's catalog compared to the total count for the query.
SC,Brand Search Query Performance,brand_search_query_performance,one_day_shipping_speed_cart_adds,Integer,"One-day or next-day shipping captures the number of times ASINs with ""One-Day"" delivery message is added to cart in the search results page for the specific query. "
SC,Brand Search Query Performance,brand_search_query_performance,one_day_shipping_speed_clicks,Integer,"One-day or next-day shipping captures the number of times ASINs with ""One-Day"" delivery message is clicked in the search results page for the specific query. "
SC,Brand Search Query Performance,brand_search_query_performance,one_day_shipping_speed_purchases,Double Precision,"One-day or next-day shipping captures the number of times ASINs with ""One-Day"" delivery message is purchased in the search results page for the specific query. "
SC,Brand Search Query Performance,brand_search_query_performance,period,Character Varying,"Weekly, monthly snapshot of the report"
SC,Brand Search Query Performance,brand_search_query_performance,purchase_rate,Double Precision,The total number of purchases over search query volume count.
SC,Brand Search Query Performance,brand_search_query_performance,purchases_brand_count,Integer,The total number of purchases over search query volume count
SC,Brand Search Query Performance,brand_search_query_performance,purchases_brand_share,Double Precision,Total number of purchase actions from the brand's catalog for this query.
SC,Brand Search Query Performance,brand_search_query_performance,purchases_median_brand_price,Double Precision,"Median price across all of the Brand's ASINs for the query, at the time of purchase"
SC,Brand Search Query Performance,brand_search_query_performance,purchases_median_price,Double Precision,"Median price across all of the ASINs for the query, at the time of  purchase"
SC,Brand Search Query Performance,brand_search_query_performance,rank,Integer,Order of top performance to least performance out of the 1000 Amazon shares.
SC,Brand Search Query Performance,brand_search_query_performance,same_day_shipping_speed_cart_adds,Integer,Same-day shipping speed means customers receive the products within the day after purchasing them. This metric captures the number of times ASINs with the same-day delivery message is added to cart in the search results page for the specific query.
SC,Brand Search Query Performance,brand_search_query_performance,same_day_shipping_speed_clicks,Integer,Same-day shipping speed means customers receive the products within the day after purchasing them. This metric captures the number of times ASINs with the same-day delivery message is clicked in the search results page for the specific query.
SC,Brand Search Query Performance,brand_search_query_performance,same_day_shipping_speed_purchases,Double Precision,Same-day shipping speed means customers receive the products within the day after purchasing them. This metric captures the number of times ASINs with the same-day delivery message is purchased in the search results page for the specific query.
SC,Brand Search Query Performance,brand_search_query_performance,search_query,Character Varying,The query searched by the customers.
SC,Brand Search Query Performance,brand_search_query_performance,search_query_volume,Integer,The number of times this query was searched during the selected time period.
SC,Brand Search Query Performance,brand_search_query_performance,snapshot_date,timestamp with time zone,Data of the report (Weekly or Monthly)
SC,Brand Search Query Performance,brand_search_query_performance,total_cart_adds,Integer,The number of ASINs cart added for the query originated from the search result.
SC,Brand Search Query Performance,brand_search_query_performance,total_clicks,Integer,The number of ASINs clicked for the query originated from the search result.
SC,Brand Search Query Performance,brand_search_query_performance,total_impressions,Integer,The number of ASINs impressed for the query originated from the search result.
SC,Brand Search Query Performance,brand_search_query_performance,total_purchases,Integer,"The number of purchase actions happened for the query, originated from the search result."
SC,Brand Search Query Performance,brand_search_query_performance,two_day_shipping_speed_cart_adds,Integer,"This metric captures the number of times ASINs with ""Two-Day"" delivery message is added to cart in the search results page for the specific query. "
SC,Brand Search Query Performance,brand_search_query_performance,two_day_shipping_speed_clicks,Integer,"This metric captures the number of times ASINs with ""Two-Day"" delivery message is clicked in the search results page for the specific query. "
SC,Brand Search Query Performance,brand_search_query_performance,two_day_shipping_speed_purchases,Double Precision,"This metric captures the number of times ASINs with ""Two-Day"" delivery message is purchased in the search results page for the specific query. "
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,_created_on,timestamp with time zone,Date the record was created
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,_last_updated_on,timestamp with time zone,Date the record was last updated
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,_partneruuid,Character Varying,Partner Unique Identifier
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,_revision,Integer,Number of times the record has changed
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,cart_adds_add_rate,Double Precision,The total number of cart adds over search query volume count.
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,cart_adds_asin_count,integer,
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,cart_adds_asin_share,Double Precision,
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,cart_adds_median_asin_price,Double Precision,
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,cart_adds_median_price,Double Precision,"Median listing price of the added to cart ASINs at the time of the display in the search results page. The purchase price of the product will vary because it includes coupons, discounts, shipping, gift cards etc."
SC,Brand Search Query Performance by ASIN,brand_search_query_performance_by_asin,clicks_asin_count,integer,
