ID,_created_on,_last_updated_on,_revision,_partneruuid,_row_index,RETURN_DATE,ORDER_ID,SKU,ASIN,FNSKU,PRODUCT_NAME,QUANTITY,FULFILLMENT_CENTER_ID,DETAILED_DISPOSITION,REASON,STATUS,LICENSE_PLATE_NUMBER,CUSTOMER_COMMENTS
1000,2023-03-07T03:57:57.467+09:00,2023-03-07T04:10:42.983+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2023-03-02T17:00:00+09:00,114-0175531-6796244,FBA-OTG-OIL-SESAME-320ML,B01MF9B0OV,X002SS24E3,"[OTTOGI] Premium Roasted Sesame Oil, 100% Pure Sesame Oil, Tradtional Korean Style oil (10.82 fl oz. 320ml)",1,MEM4,DEFECTIVE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNO026340951,
1001,2023-03-07T03:57:57.467+09:00,2023-03-07T04:10:42.983+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2023-03-02T17:00:00+09:00,114-4720769-9272222,FBA-OTG-RAM-JIN-JJBB-8PK,B08XN2F8XZ,X002THKQM5,[OTTOGI] JIN Jjambbong- Korean Style Instant Noodle - Spicy Seafood Noodle (130g) - 8 Pack,1,IND8,DEFECTIVE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNPMAE0616840,
1002,2023-03-07T03:57:57.467+09:00,2023-03-07T04:10:42.983+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2023-03-02T17:00:00+09:00,111-1937163-5665803,FBA-OTG-RAM-GOMTN-4PK,B0B2BBCR14,X0039KU4TL,[OTTOGI] Gomtang Noodle - Korean Bone broth Instant Noodle soup -Gomtang noodles (130g) - 4 Pack,1,LEX1,DEFECTIVE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRFK4760683,
1003,2023-03-07T03:57:57.467+09:00,2023-03-07T04:10:42.983+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2023-03-02T17:00:00+09:00,111-1937163-5665803,FBA-OTG-RAM-GOMTN-4PK,B0B2BBCR14,X0039KU4TL,[OTTOGI] Gomtang Noodle - Korean Bone broth Instant Noodle soup -Gomtang noodles (130g) - 4 Pack,1,LEX1,DEFECTIVE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRFK4760684,
1008,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2023-02-27T17:00:00+09:00,111-6919477-3460213,FBA-OTG-RAM-JINMD-6CUP,B003YH19TC,X002SS7MLD,"[OTTOGI] Jin Ramen Mild, KOREAN STYLE INSTANT CUP NOODLE, (65g) -6 Pack",1,BFI4,DEFECTIVE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNPMUE3174651,
1009,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2023-02-26T17:00:00+09:00,112-0199788-5589805,FBA-OTG-RAM-JINSP-8PK,B08XN5FRZ2,X002THG59N,"[OTTOGI] Jin Ramen Spicy, Korean Style Instant Noodle, Best Tasting Soup Traditional Instant Ramen (120g) - 8 Pack",1,GEG1,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNT004109451,
1010,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2023-02-23T17:00:00+09:00,112-0444097-6963436,FBA-OTG-RAM-JINMD-1BOX,B005RU9JHI,X002T0AM71,"[OTTOGI] Jin Ramen, Mild Flavor - Korean Instant Ramen Noodle, Best Tasting Soup Traditional Instant Ramen (120g) -18 Pack",1,FTW5,SELLABLE,UNDELIVERABLE_REFUSED,Unit returned to inventory,LPNPMAO9731979,
1011,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2023-02-22T17:00:00+09:00,111-3076031-9726649,FBA-OTG-RCE-RTB-426G,B07NQR7D5K,X002T04777,"[OTTOGI] RICE TTEOK-BOKKI, Spicy Rice Cake, Korean Soul Food, Serving for two (426g)",1,LEX1,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRFJ0814020,
1012,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2023-02-20T17:00:00+09:00,111-9844876-1993808,FBA-OTG-RCE-CKD-210G,B007Y9NH32,X002SZBTXD,"[OTTOGI] Delicious COOKED RICE, Gluten free, Microwavable instant cooked rice, Precooked ready to eat container (7.40oz., 12 count)",1,MOB9,CARRIER_DAMAGED,UNDELIVERABLE_REFUSED,Reimbursed,LPNRREV7660101,
1013,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2023-02-19T17:00:00+09:00,112-1820620-1213837,FBA-OTG-NDLE-VER-EXWIDE-300G,B09L2M3HV8,X0032GIVZV,"[OTTOGI] Chinese Extra Wide Vermicelli, versatile glass noodles (300g)",1,LAS2,SELLABLE,UNDELIVERABLE_REFUSED,Unit returned to inventory,LPNRRFN7884127,
