ID,_created_on,_last_updated_on,_revision,_partneruuid,_row_index,DATE_TIME,SETTLEMENT_ID,type,ORDER_ID,SKU,DESCRIPTION,QUANTITY,MARKETPLACE,FULFILLMENT,ORDER_CITY,ORDER_STATE,ORDER_POSTAL,PRODUCT_SALES,SHIPPING_CREDITS,GIFT_WRAP_CREDITS,PROMOTIONAL_REBATES,SALES_TAX_COLLECTED,MARKETPLACE_FACILITATOR_TAX,SELLING_FEES,FBA_FEES,OTHER_TRANSACTION_FEES,OTHER,TOTAL,ACCOUNT_TYPE,MARKETPLACE_WITHHELD_TAX,TAX_COLLECTION_MODEL,PRODUCT_SALES_TAX,SHIPPING_CREDITS_TAX,GIFTWRAP_CREDITS_TAX,PROMOTIONAL_REBATES_TAX
1408,2023-03-07T05:04:29.227+09:00,2023-03-07T05:04:29.227+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-03-18T06:51:57+09:00,15577058021,Order,112-6769366-4153856,FBA-OTG-RAM-JINSP-1BOX,"[OTTOGI] Jin Ramen, Spicy Flavor - Korean Instant Ramen Noodle, Best Tasting Soup Traditional Instant Ramen (120g) -18 Pack",1,amazon.com,Amazon,RIVERHEAD,NY,11901-5609,25.99,2.7,0,-2.7,0,0,-3.9,-7.33,0,0,14.76,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1409,2023-03-07T05:04:29.227+09:00,2023-03-07T05:04:29.227+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-03-18T11:32:09+09:00,15643653871,Transfer,,,"To your account ending in: 349, Bank Transfer ID: 157UV9EGKSUZ2DZ",0,,,,,,0,0,0,0,0,0,0,0,0,-14.76,-14.76,Invoiced Orders,0,,0,0,0,0
1410,2023-03-07T05:04:29.227+09:00,2023-03-07T05:04:29.227+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-04-16T06:47:49+09:00,15643653871,Order,112-6127503-6224268,FBA-OTG-RAM-JINMD-6CUP,"[OTTOGI] Jin Ramen Mild, KOREAN STYLE INSTANT CUP NOODLE, (65g) -6 Pack",1,amazon.com,Amazon,BALTIMORE,MD,21218,16.47,0,0,0,0,0,-2.47,-6.43,0,0,7.57,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1411,2023-03-07T05:04:29.227+09:00,2023-03-07T05:04:29.227+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-04-16T06:56:15+09:00,15643653871,Order,112-6127503-6224268,FBA-OTG-RAM-JINMD-6CUP,"[OTTOGI] Jin Ramen Mild, KOREAN STYLE INSTANT CUP NOODLE, (65g) -6 Pack",1,amazon.com,Amazon,BALTIMORE,MD,21218,16.47,0,0,0,0,0,-4.94,-6.43,0,0,5.1,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1412,2023-03-07T05:04:29.227+09:00,2023-03-07T05:04:29.227+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-04-16T06:56:15+09:00,15643653871,Order,112-6127503-6224268,FBA-OTG-RAM-JINMD-6CUP,"[OTTOGI] Jin Ramen Mild, KOREAN STYLE INSTANT CUP NOODLE, (65g) -6 Pack",1,amazon.com,Amazon,BALTIMORE,MD,21218,16.47,0,0,0,0,0,0,-6.43,0,0,10.04,Invoiced Orders,0,,0,0,0,0
1005,2023-03-07T04:09:02.966+09:00,2023-03-07T04:09:02.966+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-25T10:33:20+09:00,15108529291,Order,112-3104175-5114669,FBA-OTG-RAM-JINMD-6CUP,"[OTTOGI] Jin Ramen Mild, KOREAN STYLE INSTANT CUP NOODLE, (65g) -6 Pack",1,amazon.com,Amazon,STUDIO CITY,CA,91604-2611,14.97,0.83,0,-0.83,0,0,-1.2,-5.98,0,0,7.79,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1006,2023-03-07T04:09:02.966+09:00,2023-03-07T04:09:02.966+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-01-08T12:27:34+09:00,15174683181,Transfer,,,"To your account ending in: 349, Bank Transfer ID: 2A8E5H1BF3ALNZ9",0,,,,,,0,0,0,0,0,0,0,0,0,-7.79,-7.79,Invoiced Orders,0,,0,0,0,0
1007,2023-03-07T04:09:03.502+09:00,2023-03-07T04:09:03.502+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-01-30T08:10:49+09:00,15174683181,Order,113-3718956-1844215,FBA-OTG-RCE-CKD-210G,"[OTTOGI] Delicious COOKED RICE, Gluten free, Microwavable instant cooked rice, Precooked ready to eat container (7.40oz., 12 count)",1,amazon.com,Amazon,San Jose,CA,95131,24.8,0,0,0,0,0,-3.72,-7.18,0,0,13.9,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1008,2023-03-07T04:09:03.502+09:00,2023-03-07T04:09:03.502+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-02-05T12:31:41+09:00,15376322061,Transfer,,,"To your account ending in: 349, Bank Transfer ID: 5MQCFL9IIEBYFM5",0,,,,,,0,0,0,0,0,0,0,0,0,-13.9,-13.9,Invoiced Orders,0,,0,0,0,0
1009,2023-03-07T04:09:03.502+09:00,2023-03-07T04:09:03.502+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-02-15T14:14:55+09:00,15376322061,Order,111-8747443-5654663,FBA-OTG-RAM-CHSE-4PK-NEW,"[OTTOGI] Cheese Ramen, KOREAN STYLE INSTANT NOODLE, Rich flavor with savory cheese (111g) - 4 Pack",2,amazon.com,Amazon,SAINT ROSE,LA,70087-3001,25.98,0,0,0,0,0,-2.08,-11.36,0,0,12.54,Invoiced Orders,-1.3,MarketplaceFacilitator,1.3,0,0,0
